poi_type;poi_cat;poi_name;lat;long
Education;University;Nanyang Technological University;1.34559544926316;103.681428026316
Retail;Shopping Mall;Anchorpoint;1.28861533166667;103.8050041
Residential;Condominium;Marina Boulevard Residences;1.279587;103.854996
Commercial;Commercial Building;79 Anson Road;1.274039;103.845696
Retail;Shopping Mall;Bedok Mall;1.324502;103.929604
Retail;Shopping Mall;Novena Square;1.31987716285714;103.844087642857
Commercial;Commercial Building;Plaza 8;1.3332782;103.965643
Industrial;Industrial Building/Estate;FoodXchange;1.463147;103.814403
Retail;Shopping Mall;Burlington Square;1.3022585925;103.8526084
Commercial;Commercial Building;Equinix;1.29581;103.789901
Retail;Shopping Mall;Orchard Central;1.30077;103.839789
Commercial;Commercial Building;Siemens Centre;1.327386;103.870766
Travel;Tunnel;KPE Ventilator Building F;1.356801;103.901657
Commercial;Commercial Building;Standard Chartered at Changi2;1.335189;103.967258
Travel;Land;Bayfront MRT;1.282104;103.859181
Religious Sites;Religion;Buddha Tooth Relic Temple;1.281455;103.844373
Healthcare;Hospital;Changi General Hospital;1.34089466666667;103.949056555556
Healthcare;Hospital;Mount Elizabeth Novena Hospital;1.32214738461538;103.844145
Industrial;Industrial Building/Estate;Halliburton;1.27962;103.6278
Recreational;Sports Facility;OCBC Arena;1.304973;103.876296
Travel;Land;Woodsville Interchange;1.326114;103.867728
Retail;Shopping Mall;The Agape;1.326956;103.724647
Travel;Land;Kent Ridge MRT;1.2933644;103.784369666667
Retail;Shopping Mall;Orchard Towers;1.3069668;103.8292154
Industrial;Industrial Building/Estate;Genentech Singapore;1.29635414285714;103.640302285714
Retail;Shopping Mall;IMM;1.3358496;103.7464028
Industrial;Industrial Building/Estate;Mapletree Industrial Serangoon North;1.3744842;103.8690762
Commercial;Commercial Building;Robinson Centre;1.279265;103.849341
Retail;Shopping Mall;Aperia;1.3104105;103.8635665
Commercial;Commercial Building;Chai Chee Technopark;1.3232572;103.92141055
Travel;Tunnel;KPE Ventilator Building E;1.342648;103.898882
Industrial;Industrial Building/Estate;SATS Inflight Catering Centre 1;1.34123;103.984805
Government;Public Facility;Marina Barrage;1.280811;103.870972
Commercial;Commercial Building;Ocean Financial Centre;1.28317114285714;103.851894857143
Retail;Shopping Mall;Riverside Point;1.289168;103.844258
Recreational;Country Club;Sembawang Country Club;1.416677;103.815978
Recreational;Hotel;M Hotel;1.273692;103.845074
Commercial;Commercial Building;Sinsov Building;1.284467;103.850653
Education;University;SIT @ Nanyang Polytechnic;1.377566;103.848750666667
Recreational;Sports Facility;Jurong Superbowl;1.325487;103.725201
Commercial;Exhibition;National Museum;1.29673;103.848502
Travel;Land;Clarke Quay MRT;1.288721;103.846614
Retail;Shopping Mall;Chinatown Plaza;1.278631;103.842143
Residential;Condominium;Tomlinson Heights;1.302919;103.826947
Commercial;Commercial Building;71 Robinson Road;1.278364;103.848803
Commercial;Commercial Building;Gateway East;1.298834;103.859413
Defence;Police/Fire Department;Traffic Police Headquarters;1.33018;103.89135
Commercial;Commercial Building;One Raffles Quay North Tower;1.281441;103.852103
Commercial;Commercial Building;One Raffles Quay South Tower;1.280877;103.851691
Industrial;Industrial Building/Estate;Advanced Flat Panel Display Pte Ltd;1.360502;103.929684
Commercial;Commercial Building;Tong Eng Building;1.28112;103.849306
Retail;Shopping Mall;Century Square;1.35237;103.943779
Recreational;Sports Facility;National Stadium;1.30416106451613;103.874690375
Commercial;Commercial Building;The Westin;1.2782916;103.8506444
Travel;Land;Toa Payoh MRT;1.332756;103.847535
Retail;Shopping Mall;JCUBE;1.33320633333333;103.740237333333
Education;University;Yale-NUS College;1.30582;103.772106
Retail;Shopping Mall;Far East Shopping Centre;1.305492;103.829977
Religious Sites;Religion;Buddha Tooth Relic Temple and Museum;1.281455;103.844373
Commercial;Commercial Building;Maybank Tower;1.285895;103.852505
Commercial;Commercial Building;HSR Building;1.33756588575;103.854901275
Recreational;Hotel;Carlton City Hotel;1.276043;103.843687
Retail;Shopping Mall;Chinatown Point;1.2851808;103.8449394
Commercial;Commercial Building;Royal Brothers Building;1.28389;103.850817
Retail;Shopping Mall;Upp Serangoon Shopping Centre;1.353487;103.878841
Travel;Land;Chinatown MRT;1.285017;103.8433585
Retail;Shopping Mall;Greenwich Village;1.387586;103.869298
Retail;Shopping Mall;Katong Shopping Centre;1.303872;103.90107
Commercial;Commercial Building;Canon Digital Media Hub;1.300727;103.856232
Healthcare;Hospital;Khoo Teck Puat Hospital;1.424084;103.838592
Retail;Shopping Mall;Bugis Junction;1.29960296236364;103.855517218182
Industrial;Industrial Building/Estate;Lonza Biologics Tuas Pte Ltd;1.29894222222222;103.639944333333
Commercial;Commercial Building;Mitsubishi Electric Building;1.289075;103.806892
Recreational;Hotel;Marina Mandarin;1.291606;103.857044
Education;Non-tertiary Institution;ITE HQ and College Central;1.3781495;103.8562985
Travel;Land;Jurong East MRT;1.333077;103.742351
Recreational;Hotel;Orchard Parade Hotel;1.306576;103.827721
Tourism;Tourism;Gardens by The Bay;1.2840578;103.865138
Retail;Shopping Mall;Central Mall;1.288405;103.842312
Commercial;Commercial Building;Asia Square Tower 1;1.278934;103.851251
Retail;Shopping Mall;Orchard Gateway;1.30079275;103.8391793
Industrial;Industrial Building/Estate;Pioneer Junction;1.33418766666667;103.697549666667
Travel;Land;Labrador Park MRT;1.272288;103.802625
Recreational;Hotel;Swissotel Merchant Court;1.28834804;103.84583845
Education;Primary School;UWCSEA Tampines;1.359;103.93093
Commercial;Commercial Building;AZ @ Paya Lebar;1.328197;103.890839
Retail;Shopping Mall;Stamford Court;1.294473326;103.85013044
Defence;Police/Fire Department;Police Cantonment Complex;1.2785438;103.839421
Recreational;Country Club;Temasek Club;1.34452633333333;103.780730333333
Retail;Shopping Mall;Sunshine Plaza;1.3005102;103.850712
Recreational;Hotel;Raffles City;1.2933324784;103.853393664
Commercial;Commercial Building;Oxley Bizhub 2;1.332243;103.892286
Healthcare;Hospital;Yishun Community Hospital;1.43162533333333;103.837306666667
Retail;Shopping Mall;Square II;1.321089;103.843955
Recreational;Parks/Gardens;Taman Serasi Food Centre;1.308503;103.818112
Commercial;Commercial Building;Changi Cargo Agents Megaplex 1;1.37303928571429;103.995015285714
Government;Public Facility;National Library;1.297579;103.854232
Government;Government Building;Immigration And Checkpoint Authority;1.3064640168;103.86266916
Travel;Land;Dakota MRT;1.308339;103.888571
Retail;Shopping Mall;Siglap Center;1.312583;103.923166
Healthcare;Hospital;National Heart Centre;1.281481;103.836694
Commercial;Commercial Building;TripleOne Somerset;1.300223;103.837247
Retail;Shopping Mall;Paya Lebar Square;1.31883875;103.8926135
Travel;Land;Telok Ayer MRT;1.282358;103.848268
Commercial;Commercial Building;Robinson Point;1.279572;103.849543
Commercial;Commercial Building;King's Centre;1.289611;103.8357658
Commercial;Commercial Building;SGX Centre 2;1.278973;103.84959
Recreational;Hotel;Grand Pacific Hotel;1.297405979;103.85269535
Commercial;Commercial Building;DBS Tower 1;1.277045;103.84843
Retail;Shopping Mall;Loyang Point;1.367076;103.964615333333
Commercial;Commercial Building;Maybank Kim Eng Securities;1.287522;103.846591
Healthcare;Hospital;Singapore General Hospital;1.27954;103.834579888889
Commercial;Commercial Building;Great Eastern Centre;1.284809;103.847642
Recreational;Hotel;Fullerton Hotel;1.286195;103.852974
Government;Government Building;Health Promotion Board;1.2797611012;103.83847356
Recreational;Hotel;Grand Copthorne Waterfront Hotel;1.2901210772;103.83512152
Retail;Shopping Mall;Raffles City Shopping Centre;1.29393673129412;103.853137415686
Residential;Condominium;Park Avenue Residence;1.292211;103.840407
Commercial;Commercial Building;Fusionopolis Symbiosis;1.298898;103.787765
Commercial;Commercial Building;Alexandra Point;1.277282;103.802022
Commercial;Commercial Building;Marsh & McLennan Centre;1.283537;103.846868
Commercial;Commercial Building;Twenty Anson;1.275336;103.845632
Education;Research Centre;Synapse;1.301508;103.793407
Industrial;Industrial Building/Estate;AutoBay @ Kaki Bukit;1.341464;103.912462
Industrial;Industrial Building/Estate;Satair Seletar;1.40673;103.86138
Commercial;Commercial Building;Anson House;1.273846;103.844474
Retail;Shopping Mall;Bras Basah Complex;1.29689675;103.85362475
Recreational;Hotel;Four Seasons Hotel;1.30521;103.828654
Healthcare;Hospital;NUH System Acadamic Block;1.2924588;103.783333
Residential;HDB;Jurong East Street 13 Blk 102;1.336098;103.738224
Travel;Land;Buona Vista MRT;1.306641;103.790708
Commercial;Commercial Building;Millenia Tower;1.292671;103.860306
Residential;HDB;Hougang Capeview Blk 476A;1.37686;103.90414
Commercial;Commercial Building;Spring Singapore;1.284303;103.813744
Recreational;Hotel;Hotel Michael;1.25527133333333;103.820013666667
Education;Research Centre;DNV GL;1.29052;103.787235
Retail;Shopping Mall;Tampines Mart;1.354451;103.960096
Commercial;Commercial Building;PWC Building;1.282322;103.849001
Retail;Shopping Mall;Sim Lim Tower;1.303788;103.854677
Travel;Land;Geylang Bahru MRT;1.321355;103.871932
Residential;Condominium;The Luxurie;1.389115;103.896325
Travel;Air;Changi Airport Terminal 2;1.35519080948387;103.988976754839
Recreational;Country Club;Civil Service Club @ Bukit Batok;1.352611;103.749375
Residential;Condominium;Balestier Point;1.322791;103.852038
Commercial;Commercial Building;StarHub Centre;1.3028504905;103.84008565
Retail;Shopping Mall;Leisure Park Kallang;1.302351;103.876438
Tourism;Tourism;Singapore Science Centre;1.332859;103.735952
Retail;Shopping Mall;OG Peoples Park;1.285236;103.843166
Industrial;Industrial Building/Estate;TAG.A;1.386819;103.82931
Education;Research Centre;JTC Cleantech One;1.35498;103.69227
Retail;Shopping Mall;Tanjong Pagar Centre;1.27698225;103.84554425
Recreational;Hotel;V Hotel Lavender;1.307851;103.8625
Commercial;Commercial Building;Thomson Reuters;1.2902165;103.7882845
Education;Non-tertiary Institution;Nanyang Polytechnic;1.380697;103.849606
Industrial;Industrial Building/Estate;Changi International Logistics Centre Ltd;1.375966;103.97302
Retail;Shopping Mall;IKEA Alexandra;1.2879774735;103.8059969
Industrial;Industrial Building/Estate;Secom Centre;1.335021;103.758716
Recreational;Hotel;Hotel Fort Canning;1.295891;103.845465
Retail;Shopping Mall;Harbourfront Centre;1.264088;103.820215
Retail;Shopping Mall;Icon Village;1.275159;103.844533
Industrial;Industrial Building/Estate;Jackson Square;1.337009;103.848855
Commercial;Commercial Building;One Finlayson Green;1.282234;103.851285
Commercial;Commercial Building;South Beach Tower;1.29510283333333;103.856182958333
Commercial;Commercial Building;Vertex Ubi;1.33299;103.894096
Healthcare;Hospital;Mount Alvernia Hospital;1.341755904;103.83808645
Travel;Land;Farrer Park MRT;1.312627;103.854112
Commercial;Commercial Building;NTUC Centre;1.282261;103.852586
Recreational;Hotel;Pan Pacific Singapore;1.292432;103.858809
Retail;Shopping Mall;Tanjong Katong Complex;1.316463;103.894357
Retail;Shopping Mall;Bukit Panjang Plaza;1.379917;103.764349
Industrial;Industrial Building/Estate;NCS;1.319708;103.930202
Recreational;Hotel;Hyatt Regency Singapore;1.306323;103.833303
Retail;Shopping Mall;Kembangan Plaza;1.320374;103.912665
Industrial;Industrial Building/Estate;9 @ Tagore;1.383621;103.826068
Government;Government Building;Ministry of Foreign Affairs;1.304704;103.81841
Retail;Shopping Mall;One KM;1.314854;103.894555
Recreational;Country Club;National Service Resort and Country Club;1.318719;103.974321
Commercial;Commercial Building;Capital Square;1.2838694;103.8488094
Retail;Shopping Mall;The Heeren;1.30266859;103.8371906
Travel;Land;City Hall MRT;1.292989;103.852533
Defence;Police/Fire Department;Jurong Police Station;1.350901;103.702242
Commercial;Commercial Building;Fragrance Empire Building;1.27523;103.80141
Education;Specialized Training School;Devan Nair Institute;1.336112;103.745087
Retail;Shopping Mall;Oriental Plaza;1.281855;103.842009
Travel;Land;Telok Blangah MRT;1.270701;103.809773
Residential;Condominium;The Sail @ Marina Bay;1.280877;103.852602
Commercial;Commercial Building;ST Electronics;1.3916062;103.849267
Residential;Condominium;Rivergate Condo;1.291702;103.836993
Retail;Shopping Mall;Causeway Point;1.436069965;103.7860031
Commercial;Commercial Building;The Kendall;1.285871;103.783508
Healthcare;Hospital;Connexion;1.3124615;103.854033
Retail;Shopping Mall;Wisma Atria SC;1.30370686375;103.833115075
Commercial;Commercial Building;BreadTalk IHQ;1.334322;103.889745
Tourism;Tourism;Singapore Flyer;1.289971;103.862392
Commercial;Commercial Building;MBFC Tower 2;1.279448;103.853805
Commercial;Commercial Building;MBFC Tower 3;1.27914846153846;103.854474615385
Industrial;Industrial Building/Estate;KA Foodlink;1.33591;103.882807333333
Healthcare;Medical Centre;National Cancer Centre;1.2792844;103.8365338
Retail;Shopping Mall;Bugis+;1.29964;103.854283
Commercial;Commercial Building;UOB Plaza 1;1.2853932;103.8506958
Residential;Condominium;Reflections at Keppel Bay;1.267282;103.811078
Commercial;Commercial Building;Icon@IBP;1.327233225;103.74924975
Retail;Shopping Mall;International Building;1.306092;103.831011
Industrial;Industrial Building/Estate;Exxonmobil Chemical Manufacturing;1.268685;103.697995
Commercial;Commercial Building;Solaris @ One-North;1.298888875;103.788483875
Education;University;SMU School of Information System;1.297565;103.849494
Recreational;Hotel;Shangri-La Rasa Sentosa Hotel;1.257635;103.809773
Retail;Shopping Mall;Jalan Besar Plaza;1.308656;103.858047
Retail;Shopping Mall;Great World City;1.29346507033333;103.83197795
Retail;Shopping Mall;Marina Bay Financial Centre;1.280216;103.8535238
Commercial;Commercial Building;The URA Centre;1.279584;103.845284
Industrial;Industrial Building/Estate;SATS Inflight Catering Centre 2;1.344128;103.9703072
Commercial;Commercial Building;Havelock II;1.287242;103.844998
Residential;Condominium;The Shaughnessy;1.417787;103.847236
Commercial;Commercial Building;CPF Building Robinson;1.277024;103.847988
Recreational;Hotel;Crowne Plaza Hotel;1.358746;103.987957
Retail;Shopping Mall;Scotts Square;1.305801;103.833061
Retail;Shopping Mall;Bedok Point;1.3249468;103.9323374
Education;University;NUS Utown Create Building;1.3040825;103.774125642857
Retail;Shopping Mall;Junction 10;1.380351044;103.76013536
Commercial;Commercial Building;International Plaza;1.27585976;103.84594672
Retail;Shopping Mall;Elias Mall;1.378586;103.941976
Education;Research Centre;NUS Centre for Life Sciences;1.294419;103.780517
Travel;Land;Farrer Road MRT;1.317457;103.807481
Government;Government Building;CPF Tampines Building;1.353101;103.9437
Education;University;Singapore Institute of Technology;1.299976;103.780303
Education;Research Centre;JTC Cleantech Two;1.35470133333333;103.692147333333
Industrial;Industrial Building/Estate;NTT Serangoon;1.376079;103.874911
Retail;Shopping Mall;AMK Hub;1.369216;103.848411
Retail;Shopping Mall;Rivervale Mall;1.3922346572;103.90446216
Education;University;Yong Siew Toh Conservatory of Music;1.302264;103.772727
Education;Secondary School;NUS High School of Mathematics and Science;1.307159;103.769453
Healthcare;Hospital;Mount Elizabeth Hospital;1.304886;103.835459
Retail;Shopping Mall;Beauty World Centre;1.342419;103.776526
Travel;Land;Serangoon MRT;1.3501997;103.872847
Healthcare;Medical Centre;St Andrews Nursing Home;1.380324;103.885838
Residential;Condominium;Great World City Service Apartments;1.294514;103.831594
Retail;Shopping Mall;Hougang Mall;1.3724928795;103.89380465
Retail;Shopping Mall;Suntec City Mall;1.2953213467579;103.858842012632
Retail;Shopping Mall;Peninsula Plaza;1.292327;103.850823
Defence;Police/Fire Department;SCDF Division Four;1.3734414;103.7528252
Commercial;Commercial Building;Singapore Land Tower;1.284665;103.852132
Recreational;Country Club;Jurong Country Club;1.3285275;103.7376345
Commercial;Commercial Building;Cargo Agents Building C;1.374472168;103.9958378
Commercial;Commercial Building;Alexandra Technopark A;1.2777216;103.8007546
Commercial;Commercial Building;Hansa Point;1.335748;103.966492
Retail;Shopping Mall;Paradiz Centre;1.300077;103.849291
Recreational;Hotel;Genting Hotel Jurong;1.331655;103.739265
Travel;Land;Airport Cargo Complex;1.354754;103.976811
Commercial;Commercial Building;IBM Place;1.336548;103.965108
Recreational;Country Club;NUS Alumni Relations;1.293854;103.773254
Travel;Land;Sixth Avenue MRT;1.3307634;103.797248
Retail;Shopping Mall;Textile Centre;1.303758;103.8615254
Retail;Shopping Mall;Lot 1 Shoppers Mall;1.384959439;103.7450049
Recreational;Hotel;Hotel Indigo Katong;1.304486;103.904734
Recreational;Country Club;Laguna National Golf and Country Club;1.320071;103.956925
Travel;Marine;Marina South Pier;1.2708703904;103.86322408
Travel;Land;MacPherson MRT;1.326326;103.88988375
Recreational;Country Club;Serangoon Gardens Country Club;1.366242;103.866718
Residential;Condominium;Skysuites @ Anson;1.274638;103.844749
Commercial;Commercial Building;Acer Building;1.326908;103.746267
Industrial;Industrial Building/Estate;Tyco Electronics;1.3761634;103.8658718
Retail;Shopping Mall;VIVO City;1.26448076814815;103.822519111111
Commercial;Commercial Building;Harbourfront Tower;1.2646855;103.8189055
Education;Non-tertiary Institution;ITE College West - CCK;1.375116;103.751985
Retail;Shopping Mall;Shaw House;1.3057938;103.8315404
Healthcare;Hospital;National University Hospital;1.2940197352;103.782660573333
Retail;Shopping Mall;Lucky Plaza;1.3045734074;103.83392912
Commercial;Commercial Building;The Plaza;1.29998;103.861
Commercial;Commercial Building;Seagate Gambas W2;1.444503;103.809465
Travel;Air;Changi Airport Terminal 4;1.33901025;103.983926875
Travel;Land;Pasir Panjang MRT;1.276271;103.791313
Recreational;Hotel;Fullerton Bay Hotel;1.2832242;103.8535552
Travel;Land;Stadium MRT;1.302845;103.875368
Government;Government Building;Social Service Institute;1.286254;103.828047
Retail;Shopping Mall;Jurong Point Shopping Centre;1.339450885;103.706678391667
Recreational;Hotel;RELC International Hotel;1.312854;103.826079
Recreational;Hotel;Miramar Hotel;1.288199;103.837406
Religious Sites;Religion;City Harvest Church;1.343245;103.691914
Commercial;Commercial Building;Woodlands Bizhub;1.452073;103.792106
Government;Public Facility;Singapore Indoor Stadium;1.3006234685;103.874371
Commercial;Commercial Building;Infineon Technologies;1.32469425;103.87386575
Travel;Land;Outram Park MRT;1.28094158823529;103.839215647059
Retail;Shopping Mall;Mustafa Centre;1.30964763636364;103.855831090909
Education;Research Centre;Genome Institute of Singapore;1.30263366666667;103.792609888889
Retail;Shopping Mall;Compass Point;1.3920195;103.89505125
Recreational;Country Club;Tanah Merah Country Club;1.32752133333333;103.971222666667
Commercial;Commercial Building;Defence Technology Tower A;1.279765;103.815992
Commercial;Commercial Building;Finexis Building;1.279536;103.848982
Recreational;Hotel;Quality Hotel;1.3200614;103.8525272
Commercial;Commercial Building;Hitachi Square;1.355691;103.941486
Tourism;Tourism;Singapore F1 Pit Building;1.291291;103.863933
Commercial;Commercial Building;Valley Point Office Tower;1.293071;103.827073
Residential;Condominium;D'Leedon Condominium;1.31598;103.80366
Government;Government Building;Ministry of Manpower;1.306941;103.856588
Commercial;Commercial Building;Clifford Centre;1.283852;103.852132
Recreational;Hotel;Excelsior Hotel;1.29201;103.849811
Retail;Shopping Mall;United Square;1.31711557225;103.8436484
Commercial;Commercial Building;Tampines Junction;1.352339;103.9419456
Industrial;Industrial Building/Estate;Tetra Pak;1.311711;103.659803
Industrial;Industrial Building/Estate;Eunos Technolink;1.334644;103.900718
Commercial;Commercial Building;OUE Bayfront;1.282945;103.852916
Commercial;Commercial Building;Bank of Singapore Centre;1.284298;103.850619
Retail;Shopping Mall;The Cathay;1.299192;103.847812
Education;Research Centre;Singapore Science Park II;1.287344348;103.780743644444
Retail;Shopping Mall;West Mall;1.350092507;103.749288416667
Commercial;Commercial Building;Genting Centre;1.273374;103.842032
Travel;Land;HarbourFront MRT;1.265201;103.82135
Education;University;Centre for Translational Medicine;1.295364;103.781594
Travel;Land;Little India MRT;1.306973;103.8490735
Travel;Land;Fort Canning MRT;1.291921;103.844063
Industrial;Industrial Building/Estate;Pioneer Hub;1.321796;103.695338
Healthcare;Hospital;Tan Tock Seng Hospital;1.32109761043478;103.846405686957
Commercial;Commercial Building;Infinite Studio;1.292498214;103.7945591
Travel;Marine;Admiralty Yard;1.459953;103.822721
Commercial;Commercial Building;JTC Corporation Loyang;1.372326;103.971381
Commercial;Commercial Building;StarHub Green;1.3240811025641;103.892665307692
Recreational;Hotel;Park Hotel Alexandra;1.287537;103.8053
Retail;Shopping Mall;Thomson Plaza;1.354646;103.8309
Recreational;Hotel;Village Hotel Katong;1.303763;103.90288
Commercial;Commercial Building;Fusionopolis Connexis;1.299189;103.787006
Commercial;Commercial Building;Merck Sharp & Dohme;1.30279;103.634162
Commercial;Commercial Building;Tokio Marine Centre;1.279589;103.847926
Defence;Military;Sembawang Camp;1.462143;103.814476
Healthcare;Hospital;Gleneagles Hospital and Medical Centre;1.30728032688889;103.819826022222
Healthcare;Hospital;Ng Teng Fong General Hospital;1.3339335;103.74514275
Retail;Shopping Mall;Kallang Wave Mall;1.303922;103.873846
Education;Specialized Training School;The Little Skool-House International;1.286715;103.835091
Government;Government Building;Supreme Court of Singapore;1.290405;103.850744
Industrial;Industrial Building/Estate;SAESL;1.37297975;103.9818315
Travel;Land;Bedok North MRT;1.334698;103.918044
Retail;Shopping Mall;Clementi Mall;1.314856;103.764413
Recreational;Hotel;Park Regis Hotel;1.28807;103.844525
Travel;Air;Changi Airport Terminal 3;1.35705252380952;103.986471904762
Residential;Condominium;Cabana;1.387997;103.855345
Government;Government Building;ITS centre;1.292552;103.843817
Commercial;Commercial Building;Seagate Singapore Design Centre (The Shugurt);1.295642;103.790518
Recreational;Country Club;Seletar Country Club;1.4094953565;103.85822745
