Residential|Hotel|St Regis Hotel|1.305976|103.8259635
Retail|Shopping Mall|Compass Point|1.39202333333333|103.895052666667
Retail|Shopping Mall|The Cathay|1.2992760185|103.8479058
Retail|Shopping Mall|Fortune Center|1.3004225|103.852285
Commercial|Commercial Building|K&S Corporate Headquarters|1.37555|103.873582
Commercial|Commercial Building|Raffles Quay|1.281807|103.8513865
Commercial|Commercial Building|Singapore Post Building|1.278364|103.848803
Retail|Shopping Mall|Star Vista|1.306837|103.788456
Travel|Land|Kembangan MRT|1.3208882|103.9128494
Recreational|Sports Facility|Multi-purpose Indoor Arena|1.303787|103.874656
Commercial|Commercial Building|Secom Centre|1.334920516|103.75885935
Retail|Shopping Mall|Singapore Shopping Center|1.298132|103.84414
Retail|Shopping Mall|Yew Tee Point|1.3970560185|103.7468308
Commercial|Commercial Building|Rochor Centre|1.30194933333333|103.854892
Educational|Research Centre|P&G Innovation Centre|1.30337|103.79211
Commercial|Commercial Building|Singapore Exchange Tower 2|1.278973|103.84959
Retail|Shopping Mall|Zhongshan Mall|1.326737|103.846604
Commercial|Commercial Building|WPP Building|1.310861|103.837091
Commercial|Commercial Building|Shaw Plaza|1.3250355|103.8511875
Travel|Land|Bishan MRT|1.350688|103.848066
Commercial|Commercial Building|Eunos Technolink|1.3347406|103.9002426
Travel|Land|Holland Village MRT|1.312292|103.795961
Residential|Hotel|Excelsior Hotel|1.29201|103.849811
Commercial|Industrial Building/Estate|Activcard Asia Pte Ltd|1.29052|103.787235
Retail|Shopping Mall|OUB Centre|1.2836295055|103.851253475
Retail|Exhibition|Asian Civilisation Museum|1.2880015|103.8515
Educational|Specialized Training School|ITE HQ and College Central|1.3781495|103.8562985
Retail|Shopping Mall|Heartland Mall-Kovan|1.359534|103.8851945
Government|Government Building|Ministry of Manpower|1.303066|103.8541492
Recreational|Country Club|Safra Toa Payoh|1.3303155|103.854551
Residential|Hotel|Sentosa Cove|1.246243|103.842378
Commercial|Commercial Building|StarHub Centre|1.3028504905|103.84008565
Recreational|Country Club|Spans-Jom Clubhouse|1.3290375|103.848477
Educational|University|Create Way UNIVERSITY TOWN|1.304078|103.774125
Commercial|Industrial Building/Estate|Lonza Biologics Tuas Pte Ltd|1.2989605|103.639949
Residential|Hotel|Le Meridien|1.300629973|103.8420029
Recreational|Country Club|NTU Alumni Club @ One North|1.3037405|103.789858
Commercial|Commercial Building|Hitachi Tower|1.284168|103.8525685
Commercial|Commercial Building|IHUB Building|1.32876|103.741868
Retail|Shopping Mall|Raffles The Plaza North|1.29328|103.8533235
Commercial|Industrial Building/Estate|Rec Site Services Pte Ltd|1.272424|103.622728
Health|Hospital|Connexion|1.312413|103.854117
Residential|Hotel|Village Hotel Katong|1.303763|103.90288
Travel|Air|Changi Airport|1.355121810375|103.9889652125
Commercial|Commercial Building|Standard Chartered|1.334743|103.9665915
Commercial|Commercial Building|Odeon Towers|1.296198|103.853249
Residential|Hotel|Le Meridien SC.|1.300627|103.842248
Retail|Shopping Mall|IKEA Ind Building|1.2879774735|103.8059969
Retail|Shopping Mall|UE Square|1.29284220291667|103.842197175
Retail|Shopping Mall|Stamford Court|1.294346605|103.850128533333
Commercial|Commercial Building|IMFLASH|1.454844|103.793648
Educational|University|Singapore University of technology and Design|1.341019|103.9636635
Commercial|Commercial Building|Techpoint|1.389335|103.8492855
Travel|Land|Bras Basah MRT|1.2968955|103.850802
Educational|Research Centre|Solaris Building|1.29901566666667|103.788508333333
